age,gender,qualification,employability_status,years_of_experience,location,field_of_study,skills,training_courses_completed,employment_rate,unemployment_rate
25,Non-binary,Matric,Unemployable,7,Rural,Science,Networking,3,48.53333333333333,51.46666666666667
30,Male,No Qualification,Employable,10,Urban,Arts,Programming,1,48.53333333333333,51.46666666666667
24,Male,Diploma,Unemployable,4,Rural,Healthcare,Leadership,1,48.53333333333333,51.46666666666667
18,Male,No Qualification,Employable,10,Urban,Science,Project Management,2,48.53333333333333,51.46666666666667
19,Male,Matric,Employable,7,Urban,Engineering,Networking,5,48.53333333333333,51.46666666666667
18,Male,Matric,Unemployable,6,Urban,Healthcare,Networking,5,48.53333333333333,51.46666666666667
28,Male,Degree,Employable,7,Urban,Healthcare,None,3,48.53333333333333,51.46666666666667
21,Female,Postgraduate,Unemployable,3,Rural,Science,None,4,48.53333333333333,51.46666666666667
19,Female,Matric,Unemployable,7,Rural,Management,Cybersecurity,5,48.53333333333333,51.46666666666667
18,Male,No Qualification,Employable,0,Urban,Healthcare,Cybersecurity,5,48.53333333333333,51.46666666666667
31,Female,No Qualification,Employable,4,Urban,Management,Project Management,4,48.53333333333333,51.46666666666667
30,Non-binary,Degree,Employable,10,Urban,Healthcare,None,1,48.53333333333333,51.46666666666667
33,Female,Diploma,Unemployable,3,Urban,Healthcare,Programming,2,48.53333333333333,51.46666666666667
35,Non-binary,Postgraduate,Unemployable,1,Urban,Law,Basic Accounting,0,48.53333333333333,51.46666666666667
26,Female,No Qualification,Employable,6,Urban,Healthcare,Project Management,0,48.53333333333333,51.46666666666667
18,Non-binary,Diploma,Unemployable,6,Urban,Management,None,1,48.53333333333333,51.46666666666667
20,Female,Degree,Unemployable,4,Rural,Engineering,Basic Accounting,2,48.53333333333333,51.46666666666667
21,Non-binary,Postgraduate,Employable,3,Urban,Arts,Programming,0,48.53333333333333,51.46666666666667
33,Female,Diploma,Employable,10,Rural,Commerce,AutoCAD,0,48.53333333333333,51.46666666666667
21,Male,Matric,Unemployable,1,Urban,IT,None,4,48.53333333333333,51.46666666666667
34,Female,Postgraduate,Employable,5,Rural,Arts,Programming,3,48.53333333333333,51.46666666666667
30,Male,Degree,Unemployable,5,Rural,Arts,Programming,0,48.53333333333333,51.46666666666667
29,Female,No Qualification,Employable,5,Rural,Science,Project Management,1,48.53333333333333,51.46666666666667
30,Non-binary,No Qualification,Employable,1,Rural,IT,Project Management,1,48.53333333333333,51.46666666666667
31,Male,Diploma,Employable,9,Rural,Engineering,Research,5,48.53333333333333,51.46666666666667
19,Female,Matric,Unemployable,9,Rural,IT,None,0,48.53333333333333,51.46666666666667
30,Non-binary,Postgraduate,Unemployable,9,Rural,Education,Project Management,2,48.53333333333333,51.46666666666667
34,Male,Diploma,Unemployable,6,Rural,Commerce,Networking,2,48.53333333333333,51.46666666666667
35,Non-binary,Diploma,Employable,3,Urban,Commerce,Research,1,48.53333333333333,51.46666666666667
29,Male,Postgraduate,Unemployable,7,Urban,Arts,Networking,2,48.53333333333333,51.46666666666667
26,Female,Degree,Unemployable,5,Rural,Arts,Leadership,4,48.53333333333333,51.46666666666667
23,Male,Postgraduate,Employable,5,Urban,Law,Cybersecurity,2,48.53333333333333,51.46666666666667
19,Male,No Qualification,Unemployable,6,Rural,Arts,Research,5,48.53333333333333,51.46666666666667
24,Non-binary,Degree,Employable,7,Rural,Commerce,Cybersecurity,5,48.53333333333333,51.46666666666667
23,Male,No Qualification,Employable,2,Urban,Healthcare,Teaching,1,48.53333333333333,51.46666666666667
32,Non-binary,No Qualification,Unemployable,2,Urban,Healthcare,None,1,48.53333333333333,51.46666666666667
22,Female,Diploma,Unemployable,0,Urban,Management,Cybersecurity,3,48.53333333333333,51.46666666666667
19,Male,Degree,Employable,2,Urban,Healthcare,AutoCAD,4,48.53333333333333,51.46666666666667
29,Male,Matric,Unemployable,1,Rural,Management,Research,5,48.53333333333333,51.46666666666667
22,Non-binary,Diploma,Unemployable,5,Rural,Commerce,Cybersecurity,3,48.53333333333333,51.46666666666667
24,Male,Matric,Unemployable,6,Urban,Commerce,Programming,5,48.53333333333333,51.46666666666667
33,Female,Matric,Employable,7,Urban,Engineering,Research,3,48.53333333333333,51.46666666666667
28,Male,Diploma,Employable,9,Rural,Science,Teaching,0,48.53333333333333,51.46666666666667
18,Female,Diploma,Employable,4,Urban,IT,Networking,0,48.53333333333333,51.46666666666667
34,Non-binary,Matric,Unemployable,2,Urban,Engineering,Teaching,1,48.53333333333333,51.46666666666667
30,Male,Postgraduate,Unemployable,6,Rural,Management,Research,1,48.53333333333333,51.46666666666667
18,Male,Matric,Employable,9,Urban,Science,AutoCAD,4,48.53333333333333,51.46666666666667
23,Female,Diploma,Unemployable,0,Rural,Social Sciences,Cybersecurity,4,48.53333333333333,51.46666666666667
31,Non-binary,Diploma,Unemployable,2,Rural,Science,Research,4,48.53333333333333,51.46666666666667
23,Male,Matric,Employable,3,Urban,Arts,Basic Accounting,2,48.53333333333333,51.46666666666667
29,Female,Degree,Unemployable,1,Urban,Law,Basic Accounting,1,48.53333333333333,51.46666666666667
20,Female,Postgraduate,Employable,5,Rural,IT,Teaching,1,48.53333333333333,51.46666666666667
19,Female,Degree,Unemployable,8,Urban,Science,Leadership,4,48.53333333333333,51.46666666666667
20,Non-binary,Degree,Unemployable,6,Rural,Social Sciences,Programming,2,48.53333333333333,51.46666666666667
32,Non-binary,Postgraduate,Employable,6,Rural,Law,Cybersecurity,1,48.53333333333333,51.46666666666667
26,Non-binary,Diploma,Employable,2,Urban,Social Sciences,Basic Accounting,5,48.53333333333333,51.46666666666667
34,Non-binary,No Qualification,Unemployable,10,Urban,Engineering,Basic Accounting,2,48.53333333333333,51.46666666666667
32,Female,Matric,Employable,7,Urban,IT,Basic Accounting,4,48.53333333333333,51.46666666666667
22,Male,Matric,Unemployable,2,Urban,Commerce,Teaching,2,48.53333333333333,51.46666666666667
19,Female,Degree,Unemployable,6,Urban,Social Sciences,Programming,1,48.53333333333333,51.46666666666667
22,Female,Postgraduate,Unemployable,8,Urban,Education,Networking,2,48.53333333333333,51.46666666666667
35,Non-binary,Degree,Employable,6,Urban,Healthcare,Research,3,48.53333333333333,51.46666666666667
20,Non-binary,Postgraduate,Unemployable,6,Urban,Social Sciences,Project Management,1,48.53333333333333,51.46666666666667
32,Female,No Qualification,Unemployable,3,Rural,Arts,Cybersecurity,0,48.53333333333333,51.46666666666667
21,Non-binary,Matric,Employable,9,Urban,Commerce,Research,2,48.53333333333333,51.46666666666667
32,Non-binary,Postgraduate,Employable,0,Urban,Science,Research,4,48.53333333333333,51.46666666666667
18,Male,Degree,Employable,2,Urban,Commerce,Networking,0,48.53333333333333,51.46666666666667
31,Non-binary,Diploma,Employable,4,Rural,Social Sciences,Teaching,1,48.53333333333333,51.46666666666667
32,Non-binary,Postgraduate,Unemployable,7,Rural,Management,None,0,48.53333333333333,51.46666666666667
33,Female,Postgraduate,Employable,8,Urban,Social Sciences,Programming,1,48.53333333333333,51.46666666666667
23,Female,Matric,Unemployable,6,Rural,Social Sciences,None,0,48.53333333333333,51.46666666666667
33,Female,Matric,Unemployable,3,Rural,Management,Project Management,4,48.53333333333333,51.46666666666667
32,Non-binary,Postgraduate,Unemployable,1,Urban,Law,Cybersecurity,2,48.53333333333333,51.46666666666667
25,Male,No Qualification,Employable,10,Urban,Law,Leadership,1,48.53333333333333,51.46666666666667
27,Non-binary,Matric,Unemployable,8,Rural,Engineering,AutoCAD,5,48.53333333333333,51.46666666666667
33,Non-binary,Degree,Unemployable,1,Urban,Commerce,Programming,4,48.53333333333333,51.46666666666667
21,Non-binary,Diploma,Employable,10,Rural,Engineering,None,1,48.53333333333333,51.46666666666667
34,Non-binary,Matric,Employable,6,Urban,Healthcare,Project Management,2,48.53333333333333,51.46666666666667
